CNO,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,,,,
C1,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,tropical fruit,yogurt,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,
C9,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10,whole milk,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,,,,,,,,,,,,,,,,,,,,,
C13,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C14,frankfurter,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C15,chicken,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C17,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C18,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C19,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C20,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C21,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C22,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C23,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C24,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
C25,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,
C26,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C27,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C28,sausage,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C29,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30,brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
C31,yogurt,beverages,bottled water,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C32,hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
C33,root vegetables,other vegetables,whole milk,beverages,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
C34,pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,
C35,beef,grapes,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C36,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C37,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C38,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C39,root vegetables,other vegetables,whole milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C40,citrus fruit,zwieback,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C41,sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
C42,tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy,,,,,,,,,,,,,,,,,,,
C43,berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C44,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C45,butter milk,yogurt,cream cheese,spread cheese,rolls/buns,bottled water,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
C46,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C47,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C48,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C49,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C50,root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product,,,,,,,,,,,,,,,,,,,,,,
C51,sausage,rolls/buns,cat food,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C52,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C53,ham,grapes,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C54,turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
C55,whole milk,yogurt,processed cheese,pickled vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
C56,whole milk,curd,yogurt,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57,packaged fruit/vegetables,brown bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C58,rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
C59,ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,
C60,rolls/buns,pastry,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C61,other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent,,,,,,,,,,,,,,,,,,,,,,,,,
C62,sausage,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C63,sausage,beef,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C64,frankfurter,tropical fruit,rolls/buns,brown bread,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
C65,rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C66,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C67,curd cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C68,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C69,sausage,whole milk,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C70,tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
C71,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C72,whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,
C73,frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
C74,whole milk,meat spreads,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C75,frozen potato products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C76,other vegetables,whole milk,rolls/buns,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C77,citrus fruit,whole milk,curd,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
C78,flour,salt,bottled water,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
C79,sugar,bottled water,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C80,frozen meals,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C81,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C82,root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,
C83,root vegetables,onions,hard cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C84,herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles,,,,,,,,,,,,,,,,,,,,,,,,,
C85,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C86,sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent,,,,,,,,,,,,,,,,,,,,,,,,,
C87,coffee,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C88,pork,other vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C89,berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C90,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C91,berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C92,fruit/vegetable juice,salty snack,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C93,citrus fruit,butter milk,yogurt,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C94,pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate,,,,,,,,,,,,,,,,,,,,,,,
